Original Image,Adversarial Image,Original Prediction Probability,Prediction on Adversarial Image,Prediction Probability for Adversarial Image
0,1,100,0,53.92
0,2,100,2,99.99
0,3,100,3,99.63
0,4,100,4,81.61
0,5,100,5,100
0,6,100,6,100
0,7,100,7,99.75
0,8,100,8,96.99
0,9,100,9,100
1,0,99.27,0,90.19
1,2,99.27,2,100
1,3,99.27,3,100
1,4,99.27,4,99.92
1,5,99.27,5,100
1,6,99.27,6,99.99
1,7,99.27,7,100
1,8,99.27,8,99.99
1,9,99.27,9,100
2,0,99.89,0,98.8
2,1,99.89,1,54.45
2,3,99.89,3,99.92
2,4,99.89,6,39.76
2,5,99.89,5,99.99
2,6,99.89,6,98.39
2,7,99.89,3,69.71
2,8,99.89,8,99.31
2,9,99.89,9,39.56
3,0,96.09,3,38.65
3,1,96.09,1,39.69
3,2,96.09,2,99.99
3,4,96.09,4,72.04
3,5,96.09,5,99.95
3,6,96.09,6,99.93
3,7,96.09,3,57.56
3,8,96.09,8,99.86
3,9,96.09,9,98.76
4,0,97.78,0,98.6
4,1,97.78,1,76.88
4,2,97.78,2,100
4,3,97.78,3,98.54
4,5,97.78,5,100
4,6,97.78,6,100
4,7,97.78,7,100
4,8,97.78,8,99.74
4,9,97.78,9,100
5,0,98.15,0,99.66
5,1,98.15,1,99.8
5,2,98.15,2,99.78
5,3,98.15,3,100
5,4,98.15,4,93.09
5,6,98.15,6,99.92
5,7,98.15,7,91.46
5,8,98.15,8,99.99
5,9,98.15,9,99.96
6,0,99.76,0,99.85
6,1,99.76,1,81.4
6,2,99.76,2,99.96
6,3,99.76,3,99.98
6,4,99.76,3,46.8
6,5,99.76,6,100
6,7,99.76,7,97.53
6,8,99.76,8,99.88
6,9,99.76,9,100
7,0,99.97,0,99.17
7,1,99.97,1,35.3
7,2,99.97,2,100
7,3,99.97,3,100
7,4,99.97,4,57.62
7,5,99.97,5,100
7,6,99.97,2,30.7
7,8,99.97,8,99.91
7,9,99.97,9,99.96
8,0,81.31,0,74.33
8,1,81.31,2,63.84
8,2,81.31,2,100
8,3,81.31,3,99.93
8,4,81.31,4,66.68
8,5,81.31,5,99.87
8,6,81.31,6,95.4
8,7,81.31,7,98.96
8,9,81.31,9,100
9,0,96.2,0,31.37
9,1,96.2,1,99.12
9,2,96.2,2,100
9,3,96.2,3,99.98
9,4,96.2,4,99.98
9,5,96.2,5,100
9,6,96.2,6,99.91
9,7,96.2,7,99.24
9,8,96.2,8,99.96
