Original Image,Adversarial Image,Original Prediction Probability,Prediction on Adversarial Image,Prediction Probability for Adversarial Image
0,1,100,1,48.71
0,2,100,2,69.42
0,3,100,3,47.27
0,4,100,4,78.65
0,5,100,5,74.38
0,6,100,6,68.77
0,7,100,7,60.7
0,8,100,8,53.59
0,9,100,9,72.19
1,0,99.27,0,32.26
1,2,99.27,2,69.06
1,3,99.27,3,62.57
1,4,99.27,4,34.25
1,5,99.27,5,53.62
1,6,99.27,6,51.29
1,7,99.27,7,68.8
1,8,99.27,8,64.73
1,9,99.27,9,59.31
2,0,99.89,0,62.11
2,1,99.89,1,71.07
2,3,99.89,3,77.63
2,4,99.89,8,22.88
2,5,99.89,5,62.19
2,6,99.89,6,71.57
2,7,99.89,7,43.5
2,8,99.89,8,65.7
2,9,99.89,8,22.38
3,0,96.09,0,49.73
3,1,96.09,1,55.03
3,2,96.09,2,63.66
3,4,96.09,4,42.34
3,5,96.09,5,55.82
3,6,96.09,6,54.75
3,7,96.09,7,64.55
3,8,96.09,8,72.78
3,9,96.09,9,62.5
4,0,97.78,0,48.97
4,1,97.78,1,39.84
4,2,97.78,2,61.38
4,3,97.78,3,46.27
4,5,97.78,5,46.53
4,6,97.78,6,52.96
4,7,97.78,7,68.06
4,8,97.78,8,51.31
4,9,97.78,9,74.82
5,0,98.15,0,46.48
5,1,98.15,1,63.2
5,2,98.15,2,46.77
5,3,98.15,3,76.61
5,4,98.15,4,35.86
5,6,98.15,6,43.07
5,7,98.15,7,65.11
5,8,98.15,8,60.44
5,9,98.15,9,52.57
6,0,99.76,0,71.5
6,1,99.76,1,44.75
6,2,99.76,2,68.6
6,3,99.76,3,54.59
6,4,99.76,4,64.38
6,5,99.76,5,71.78
6,7,99.76,7,68.09
6,8,99.76,8,68.71
6,9,99.76,9,39.33
7,0,99.97,0,50.28
7,1,99.97,1,39.88
7,2,99.97,2,69.05
7,3,99.97,3,72.57
7,4,99.97,4,62.46
7,5,99.97,5,64.34
7,6,99.97,6,45.1
7,8,99.97,8,55.96
7,9,99.97,9,63.87
8,0,81.31,0,57.09
8,1,81.31,1,38.39
8,2,81.31,2,83.57
8,3,81.31,3,65.43
8,4,81.31,4,69.23
8,5,81.31,5,61.22
8,6,81.31,6,60.13
8,7,81.31,7,58.09
8,9,81.31,9,63.44
9,0,96.2,0,27.58
9,1,96.2,1,49.46
9,2,96.2,2,46.9
9,3,96.2,3,60.53
9,4,96.2,4,72.34
9,5,96.2,5,61.32
9,6,96.2,6,35.53
9,7,96.2,7,52.48
9,8,96.2,8,36.9
