Original Image,Adversarial Image,Original Prediction Probability,Prediction on Adversarial Image,Prediction Probability for Adversarial Image
0,1,100,0,100
0,2,100,0,100
0,3,100,0,100
0,4,100,0,100
0,5,100,0,100
0,6,100,0,100
0,7,100,0,100
0,8,100,0,100
0,9,100,0,100
1,0,99.27,1,99.9
1,2,99.27,2,100
1,3,99.27,3,99.96
1,4,99.27,4,87.01
1,5,99.27,1,99.9
1,6,99.27,6,99.69
1,7,99.27,7,99.97
1,8,99.27,8,98.9
1,9,99.27,1,99.9
2,0,99.89,2,100
2,1,99.89,1,94.87
2,3,99.89,3,99.82
2,4,99.89,2,100
2,5,99.89,2,100
2,6,99.89,2,100
2,7,99.89,2,100
2,8,99.89,2,100
2,9,99.89,2,100
3,0,96.09,3,100
3,1,96.09,3,100
3,2,96.09,2,99.66
3,4,96.09,3,100
3,5,96.09,5,99.94
3,6,96.09,3,100
3,7,96.09,3,100
3,8,96.09,8,99.81
3,9,96.09,9,94.67
4,0,97.78,4,100
4,1,97.78,4,100
4,2,97.78,2,99.9
4,3,97.78,4,100
4,5,97.78,4,100
4,6,97.78,6,99.98
4,7,97.78,7,99.72
4,8,97.78,4,100
4,9,97.78,9,100
5,0,98.15,5,100
5,1,98.15,1,99.07
5,2,98.15,5,100
5,3,98.15,3,100
5,4,98.15,5,100
5,6,98.15,5,100
5,7,98.15,5,100
5,8,98.15,8,99.96
5,9,98.15,5,100
6,0,99.76,0,99.81
6,1,99.76,6,100
6,2,99.76,2,99.86
6,3,99.76,6,100
6,4,99.76,6,100
6,5,99.76,5,99.91
6,7,99.76,6,100
6,8,99.76,8,99.89
6,9,99.76,6,100
7,0,99.97,7,100
7,1,99.97,7,100
7,2,99.97,7,100
7,3,99.97,3,99.9
7,4,99.97,7,100
7,5,99.97,7,100
7,6,99.97,7,100
7,8,99.97,7,100
7,9,99.97,7,100
8,0,81.31,8,100
8,1,81.31,8,100
8,2,81.31,2,100
8,3,81.31,3,99.54
8,4,81.31,4,100
8,5,81.31,5,100
8,6,81.31,6,100
8,7,81.31,7,100
8,9,81.31,8,100
9,0,96.2,9,100
9,1,96.2,9,97.59
9,2,96.2,2,76.92
9,3,96.2,3,74.31
9,4,96.2,9,67.51
9,5,96.2,5,99.24
9,6,96.2,9,100
9,7,96.2,9,85.5
9,8,96.2,8,73.17
